"","player_name","new_club","price_pounds","new_league"
"390","Grzegorz Krychowiak","West Bromwich Albion"," ","Premier League"
"391","Alex Oxlade-Chamberlain","Liverpool","35000000","Premier League"
"392","Serge Aurier","Tottenham Hotspur","23000000","Premier League"
"393","Orestis Karnezis","Watford"," ","Premier League"
"394","Renato Sanches","Swansea City"," ","Premier League"
"395","Nahki Wells","Burnley","5000000","Premier League"
"396","Olivier Ntcham","Manchester City"," ","Premier League"
"397","Kylian Hazard","Chelsea"," ","Premier League"
"398","Ezequiel Schelotto","Brighton","2770000","Premier League"
"399","Molla Wague","Watford"," ","Premier League"
"400","Nikola Vlasic","Everton","9000000","Premier League"
"401","Marvin Zeegelaar","Watford","2760000","Premier League"
"402","Kyle Jameson","West Bromwich Albion"," ","Premier League"
"403","Davide Zappacosta","Chelsea","25750000","Premier League"
"404","Aleksandar Dragovic","Leicester City"," ","Premier League"
"405","Tim Krul","Brighton"," ","Premier League"
"406","Fernando Llorente","Tottenham Hotspur","12000000","Premier League"
"407","Wilfried Bony","Swansea City","12000000","Premier League"
"408","Danny Drinkwater","Chelsea","35000000","Premier League"
"409","Mamadou Sakho","Crystal Palace","26000000","Premier League"
"410","Youri Tielemans","Monaco","21600000","Ligue 1"
"411","Benoît Costil","Bordeaux","0","Ligue 1"
"412","Jean-Luc Dompé","Amiens"," ","Ligue 1"
"413","Junior Tallo","Lille"," ","Ligue 1"
"414","Goran Karanovic","Angers"," ","Ligue 1"
"415","Yoane Wissa","Angers"," ","Ligue 1"
"416","Enzo Crivelli","Bordeaux"," ","Ligue 1"
"417","Lukas Lerager","Bordeaux","2640000","Ligue 1"
"418","Frédéric Guilbert","Bordeaux"," ","Ligue 1"
"419","Christian Kouakou","Caen"," ","Ligue 1"
"420","Florian Le Joncour","Bordeaux"," ","Ligue 1"
"421","Jordan Nkololo","Caen"," ","Ligue 1"
"422","Jordan Tell","Rennes","0","Ligue 1"
"423","Jean-Victor Makengo","Nice"," ","Ligue 1"
"424","Eden Massouema","Dijon"," ","Ligue 1"
